"Dummy ID","Gender","Minority Status","Residency","State","County Description","Zip 3","Nation Description","Residence Hall","Division","Cognate Area"
"3.0448069E7","M","International","I","",""," ","Spain","Y","AP",""
"3.0341521E7","M","Domestic Minority","R","OH","Butler County^ OH","450","","","BU",""
"3.029892E7","F","Domestic Nonminority","R","OH","Darke County^ OH","453","","Y","EA",""
"2.9938794E7","M","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","FA",""
"3.0449317E7","M","Domestic Minority","R","OH","Lorain County^ OH","440","","Y","AS","Social Sciences"
"3.0422615E7","M","Domestic Nonminority","R","OH","Greene County^ OH","454","","Y","EA",""
"3.0349698E7","F","Domestic Minority","N","MD","Charles County^ MD","206","","Y","AS","Natural Sciences"
"3.0313181E7","F","Domestic Nonminority","R","OH","Portage County^ OH","442","","Y","AS","Social Sciences"
"3.0533674E7","M","International","I","","","","India","Y","AP",""
"3.0132572E7","M","Domestic Nonminority","N","IN","Hamilton County^ IN","460","","Y","AS","University Studies"
"3.0530515E7","F","International","I","","","","India","Y","AP",""
"3.0537093E7","F","International","I","","","","China","Y","AS","University Studies"
"3.0251275E7","M","International","I","","","","Vietnam","Y","AP",""
"3.0297321E7","M","International","I","",""," ","China","Y","AS","Natural Sciences"
"3.042853E7","M","International","I","",""," ","China","Y","AS","Natural Sciences"
"3.0477592E7","M","International","I","",""," ","China","Y","AP",""
"3.0533193E7","M","International","I","",""," ","China","Y","BU",""
"3.0521337E7","M","International","I","","","","India","Y","AP",""
"3.0529956E7","F","International","I","","","","India","Y","AP",""
"3.0150824E7","M","Domestic Nonminority","N","IN","St Joseph County^ IN","466","","Y","AS","Natural Sciences"
"3.0427087E7","F","International","I","",""," ","China","Y","BU",""
"3.0228642E7","F","Domestic Minority","R","OH","Cuyahoga County^ OH","441","","Y","EA",""
"3.0178241E7","F","Domestic Nonminority","N","IL","Cook County^ IL","600","","Y","AS","Natural Sciences"
"3.0128672E7","M","Domestic Nonminority","R","OH","Montgomery County^ OH","454","","Y","AP",""
"2.9960257E7","M","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","AS","Natural Sciences"
"3.0391805E7","M","Domestic Nonminority","R","OH","Licking County^ OH","430","","Y","AP",""
"3.0332525E7","M","Domestic Nonminority","R","OH","Butler County^ OH","450","","","FA",""
"3.0300207E7","M","Domestic Nonminority","N","MI","Genesee County^ MI","484","","Y","FA",""
"3.0199002E7","M","Domestic Nonminority","R","OH","Delaware County^ OH","430","","Y","AP",""
"3.0517918E7","F","International","I","",""," ","India","Y","AP",""
"3.0318069E7","F","Domestic Minority","R","OH","Cuyahoga County^ OH","441","","Y","AS","Social Sciences"
"3.0423213E7","M","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","FA",""
"3.0137447E7","M","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","AS","Natural Sciences"
"3.0236481E7","F","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","FA",""
"3.0144298E7","M","Domestic Nonminority","N","TN","Davidson County^ TN","372","","Y","AS","University Studies"
"3.0521454E7","M","International","I","",""," ","China","Y","EA",""
"3.0255006E7","M","Domestic Nonminority","N","IL","Du Page County^ IL","605","","Y","FA",""
"3.0273349E7","F","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","FA",""
"3.0476084E7","F","International","I","","Queens County^ NY"," ","China","Y","AS","University Studies"
"3.0159573E7","F","Domestic Nonminority","R","OH","Delaware County^ OH","430","","Y","AS","Natural Sciences"
"3.0273193E7","M","Domestic Nonminority","R","OH","Medina County^ OH","442","","Y","FA",""
"3.0367079E7","F","Domestic Nonminority","R","OH","Medina County^ OH","442","","Y","FA",""
"3.0242734E7","F","International","I","",""," ","Nepal","Y","AS","Natural Sciences"
