"Dummy ID","SUBJ_CODE","COURSE_NUMBER"
"2.936357E7","BUS","102"
"2.936357E7","BUS","101"
"2.936357E7","ESP","103"
"2.9364155E7","GLG","115L"
"2.9364155E7","GLG","121"
"2.9364155E7","SPN","101"
"2.9364155E7","GLG","147"
"2.9364155E7","ENG","111"
"2.9364155E7","MTH","104"
"2.9364805E7","WST","122"
"2.9364805E7","CHM","141"
"2.9364805E7","BIO","115"
"2.9364805E7","CHM","144"
"2.9365156E7","BIO","147"
"2.9365156E7","BIO","115"
"2.9365156E7","CHM","141"
"2.9365156E7","CHM","144"
"2.9365156E7","SPN","111"
"2.9365156E7","PMD","101"
"2.9365351E7","CEC","101"
"2.9365351E7","MTH","151H"
"2.9365351E7","PHY","191"
"2.9365351E7","AMS","205"
"2.9365351E7","BIO","121"
"2.9365754E7","ENG","163"
"2.9365754E7","UNV","101"
"2.9365754E7","HST","111"
"2.9365754E7","SPN","201"
"2.9365754E7","BIO","176"
"2.9365754E7","GEO","201"
"2.9367392E7","MTH","104"
"2.9367392E7","MME","102"
"2.9367392E7","CEC","101"
"2.9367392E7","PHY","191"
"2.9367392E7","EDL","290E"
"2.9367392E7","MTH","151"
"2.9367392E7","EDL","260"
"2.936786E7","ECO","201"
"2.936786E7","STA","125"
"2.936786E7","CSE","148"
"2.936786E7","CHM","111L"
"2.936786E7","CHM","111"
"2.936786E7","MBI","111"
"2.9370564E7","BIO","131"
"2.9370564E7","UNV","101"
"2.9370564E7","MUS","101"
"2.9370564E7","MUS","100D"
"2.9370564E7","ENG","111"
"2.9370564E7","MUS","235"
"2.9370564E7","MUS","160"
"2.9370564E7","MUS","140"
"2.9370564E7","MUS","144A"
"2.9370564E7","MUS","151"
"2.9372072E7","UNV","101"
"2.9372072E7","JRN","101"
"2.9372072E7","BIO","131"
"2.9372072E7","POL","221"
"2.9372072E7","FRE","101"
"2.9372072E7","ESP","101"
"2.93728E7","MTH","151"
"2.93728E7","SPN","111"
