"Dummy ID","Legacy"
"3.0341521E7","S"
"2.9938794E7","M"
"3.0449317E7","S"
"3.0422615E7","O"
"3.0150824E7","M"
"3.0128672E7","B"
"2.9960257E7","O"
"3.0391805E7","B"
"3.0236481E7","O"
"3.0144298E7","S"
"3.0273349E7","S"
"3.0379754E7","M"
"3.015358E7","O"
"3.0363634E7","B"
"2.9970449E7","A"
"3.0470676E7","O"
"3.0204046E7","O"
"2.93728E7","S"
"3.0105168E7","A"
"3.0087553E7","S"
"3.0170389E7","O"
"2.9676207E7","C"
"3.0163668E7","C"
"3.0344498E7","F"
"2.9966614E7","B"
"3.0298907E7","O"
"3.0315521E7","F"
"3.0092623E7","S"
"3.0290002E7","B"
"3.0262741E7","O"
"3.0483052E7","O"
"3.0375776E7","B"
"3.0388113E7","O"
"3.0103205E7","A"
"3.0208687E7","F"
"3.0362646E7","B"
"3.0234479E7","B"
"3.0174341E7","M"
"3.0219048E7","O"
"2.9973751E7","O"
"3.019999E7","S"
"3.0224144E7","O"
"3.0172092E7","O"
"3.0344797E7","O"
"3.0110576E7","B"
"3.021195E7","S"
"2.9958671E7","B"
"3.0142205E7","M"
"3.028904E7","M"
"3.0172794E7","O"
"2.9957189E7","F"
"3.0162147E7","F"
"3.0291848E7","M"
"3.0143323E7","O"
"3.0308514E7","O"
"3.0202889E7","O"
"3.0145247E7","F"
"3.0167529E7","F"
"3.0402231E7","O"
"3.0403518E7","O"
"3.014201E7","S"
"3.036951E7","O"
"3.0405377E7","F"
"3.0132169E7","O"
"3.0163499E7","O"
"3.0192931E7","M"
"3.0367092E7","O"
"3.0166073E7","M"
"3.0086955E7","S"
"3.0391623E7","O"
"3.0372045E7","O"
"3.0296294E7","O"
"3.0231736E7","D"
"3.0364505E7","B"
"3.0230358E7","S"
"3.008481E7","O"
"3.0172989E7","M"
"3.0350387E7","O"
"3.0141308E7","O"
"3.0305693E7","S"
"3.0263612E7","B"
"3.0305017E7","M"
"3.0213133E7","S"
"3.0312934E7","S"
"3.0276222E7","S"
"3.0307448E7","M"
"3.0226861E7","O"
"3.0260895E7","B"
"3.0281487E7","O"
"3.0306486E7","O"
"3.0231073E7","M"
"3.0116452E7","O"
"2.9966822E7","O"
"3.0367547E7","S"
"3.021169E7","S"
"3.0195986E7","F"
"3.0109419E7","S"
"3.023496E7","B"
"3.0353416E7","M"
"3.0396043E7","O"
"3.0507089E7","O"
"3.0351973E7","O"
"3.0155686E7","S"
"3.0251626E7","S"
"3.0201745E7","M"
"3.0397109E7","O"
"3.0303132E7","O"
"3.0245893E7","O"
"2.9930877E7","A"
"2.9962025E7","O"
"3.0317484E7","O"
"3.0281851E7","O"
"2.9961492E7","M"
"3.0086448E7","F"
"3.0200328E7","A"
"3.0096042E7","B"
"3.0193074E7","A"
"3.0348203E7","M"
"3.0297022E7","O"
"3.0332382E7","S"
"3.0159807E7","F"
"3.040331E7","M"
"3.0301026E7","B"
"3.0335359E7","M"
"3.0350192E7","D"
"2.9962116E7","O"
"3.0351063E7","F"
"3.01346E7","S"
"3.0359318E7","S"
"3.0349919E7","S"
"3.0232269E7","M"
"3.0079961E7","B"
"2.9962402E7","O"
"3.0315092E7","B"
"3.0090426E7","D"
"3.0253485E7","M"
"3.0171767E7","D"
"3.0153229E7","M"
"3.0189616E7","S"
"3.0320006E7","F"
"3.0145455E7","C"
"3.0281669E7","S"
"3.0482298E7","M"
"3.0090036E7","S"
"3.0101177E7","B"
"3.0221284E7","O"
"3.0133196E7","S"
"3.0316639E7","S"
"3.0139865E7","B"
"3.0204826E7","S"
"3.0136979E7","F"
"2.9965795E7","B"
"3.0106052E7","O"
"3.0287883E7","C"
"3.0287233E7","O"
"3.0233023E7","B"
"3.0118753E7","O"
"3.0290899E7","O"
"2.9966523E7","B"
"3.0174627E7","S"
"3.0262403E7","S"
"3.0353806E7","O"
"2.9925235E7","S"
"3.0122146E7","B"
"3.008897E7","O"
"3.0329444E7","O"
"3.0249988E7","D"
"3.0220296E7","O"
"3.0281474E7","O"
"3.0331056E7","O"
"3.0079532E7","O"
"3.0215239E7","O"
"3.045037E7","M"
"3.0295319E7","O"
"3.0107131E7","O"
"3.0308891E7","M"
"3.0300155E7","S"
"3.018972E7","S"
"3.0141373E7","B"
"3.0220673E7","A"
"3.0139748E7","S"
"2.9362231E7","B"
"3.0185482E7","F"
"3.0393573E7","M"
"3.0497404E7","B"
"3.0132663E7","F"
"3.014903E7","M"
"3.0292706E7","O"
"3.0094092E7","O"
"3.0076087E7","M"
"3.0108041E7","M"
"3.0199548E7","O"
"3.0307851E7","S"
"3.0330484E7","O"
"3.0292797E7","C"
"3.0298452E7","S"
"3.0118129E7","S"
"3.0288572E7","S"
"3.0281305E7","O"
"3.0094339E7","O"
"3.0107443E7","M"
"3.0241421E7","O"
"3.0370485E7","O"
"3.0186665E7","F"
"3.0215629E7","O"
"3.0202928E7","O"
"3.0278029E7","M"
"3.0377622E7","F"
"3.0284542E7","O"
"3.0168699E7","B"
"3.0305524E7","S"
"3.0260401E7","M"
"3.0392442E7","S"
"3.022612E7","S"
"3.0358278E7","A"
"3.0169622E7","S"
"3.0325908E7","S"
"3.0365987E7","O"
"3.011133E7","B"
"3.0075749E7","O"
"3.0195388E7","M"
"3.035248E7","S"
"3.0370875E7","O"
"2.9963975E7","O"
"3.0413216E7","M"
"3.021754E7","S"
"3.0123966E7","M"
"3.043685E7","S"
"2.9931189E7","B"
"3.0140697E7","F"
"3.0164955E7","B"
"3.0198768E7","M"
"3.0251951E7","S"
"3.0310269E7","O"
"3.0248558E7","O"
"3.0224014E7","M"
"3.0248519E7","M"
"3.0250209E7","S"
"3.0233569E7","S"
"3.0161133E7","O"
"3.0234739E7","M"
"2.8702E7","A"
"3.024978E7","M"
"3.0230943E7","M"
"3.037744E7","F"
"3.0296437E7","B"
"3.0229448E7","B"
"3.0217995E7","F"
"3.0388555E7","A"
"3.0204176E7","S"
"3.0347722E7","S"
"2.9974375E7","C"
"3.0249221E7","O"
"3.0364427E7","D"
"3.022144E7","S"
"3.0364115E7","C"
"3.0119494E7","A"
"3.0182596E7","C"
"2.7708072E7","S"
"3.0297984E7","B"
"3.0283762E7","C"
"3.0185105E7","A"
"3.0155517E7","O"
"3.0406872E7","O"
"3.0203149E7","S"
"3.0280759E7","O"
"3.0166827E7","M"
"3.0405065E7","A"
"3.0120703E7","S"
"3.0097017E7","D"
"3.0366884E7","O"
"3.0208206E7","F"
"3.03543E7","S"
"3.0095652E7","O"
"2.9965535E7","A"
"3.0159794E7","F"
"2.9964092E7","D"
"3.0086253E7","F"
"3.0200549E7","F"
"2.9365351E7","S"
"3.0363764E7","A"
"3.0195869E7","O"
"3.0356978E7","O"
"3.0145052E7","B"
"3.0253771E7","D"
"3.0175589E7","F"
"3.0161809E7","O"
"3.0291484E7","O"
"3.007545E7","F"
"3.0175056E7","F"
"3.0415595E7","M"
"3.0198794E7","O"
"3.0236182E7","M"
"3.028527E7","B"
"3.0356939E7","O"
"3.013746E7","O"
"3.0315976E7","M"
"3.0367937E7","B"
"2.9938729E7","F"
"3.0276651E7","O"
"3.0101619E7","F"
"3.0143128E7","S"
"3.0277145E7","M"
"3.0123186E7","M"
"3.0278809E7","O"
"3.0168855E7","M"
"3.040201E7","F"
"3.0331472E7","F"
"3.0156284E7","C"
"3.0105636E7","S"
"3.0222259E7","S"
