"Dummy ID","Parent/Guardian 1","Parent/Guradian 2"
"3.0448069E7","Graduated from college/university","Some college/university"
"3.0341521E7","Graduated from college/university","Graduated from college/university"
"3.029892E7","Graduated from high/secondary school (or equivalent)","Some college/university"
"2.9938794E7","Graduated from college/university","Some trade school"
"3.0449317E7","Graduated from college/university","Graduated from college/university"
"3.0422615E7","Graduate school","Graduated from high/secondary school (or equivalent)"
"3.0349698E7","Some college/university","Graduated from college/university"
"3.0313181E7","Graduate school","Graduated from college/university"
"3.0533674E7","Some high/secondary school","Some high/secondary school"
"3.0132572E7","Graduated from college/university","Graduated from college/university"
"3.0530515E7","Graduate school","Graduated from college/university"
"3.0537093E7","Some high/secondary school","Graduated from college/university"
"3.0251275E7","Graduated from college/university","Graduated from college/university"
"3.0297321E7","Graduate school","Graduated from high/secondary school (or equivalent)"
"3.042853E7","Graduate school","Graduated from college/university"
"3.0477592E7","Graduated from high/secondary school (or equivalent)","Graduated from college/university"
"3.0533193E7","Graduated from college/university","Graduate school"
"3.0521337E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0529956E7","Some high/secondary school","Graduated from high/secondary school (or equivalent)"
"3.0150824E7","Graduated from college/university","Graduated from college/university"
"3.0427087E7","Some high/secondary school","Some high/secondary school"
"3.0228642E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0178241E7","Graduated from college/university","Graduated from college/university"
"3.0128672E7","Graduated from college/university","Graduated from college/university"
"2.9960257E7","Graduated from college/university","Graduate school"
"3.0391805E7","Graduated from college/university","Graduate school"
"3.0332525E7","Graduate school","Graduated from high/secondary school (or equivalent)"
"3.0300207E7","Graduate school","Graduate school"
"3.0199002E7","Graduated from college/university","Graduate school"
"3.0517918E7","Some college/university","Some college/university"
"3.0318069E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0423213E7","Graduate school","Graduated from college/university"
"3.0137447E7","Graduate school","Graduate school"
"3.0236481E7","Graduated from college/university","Graduated from college/university"
"3.0144298E7","Graduated from college/university","Graduate school"
"3.0521454E7","Graduated from college/university","Some college/university"
"3.0255006E7","Graduate school","Some trade school"
"3.0273349E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0476084E7","Some high/secondary school","Some high/secondary school"
"3.0159573E7","Graduated from college/university","Graduated from college/university"
"3.0273193E7","Graduate school","Graduate school"
"3.0367079E7","Graduated from college/university","Some trade school"
"3.0242734E7","Graduated from college/university","Graduated from college/university"
"3.0379754E7","Graduated from college/university","Graduated from college/university"
"3.0394483E7","Graduated from college/university","Graduated from college/university"
"3.0381522E7","Graduated from college/university","Graduated from college/university"
"3.0117427E7","Graduate school","Graduated from college/university"
"3.015358E7","Graduate school","Graduated from college/university"
"3.0363634E7","Graduated from college/university","Graduate school"
"3.047793E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"2.9970449E7","Graduate school","Some college/university"
"3.0259296E7","Graduated from college/university","Graduate school"
"3.0470676E7","Graduate school","Graduate school"
"3.0204046E7","Graduated from college/university","Some college/university"
"3.0456181E7","Graduated from college/university","Some college/university"
"3.0350478E7","Graduated from college/university","Graduated from college/university"
"3.0391324E7","Graduated from college/university","Some trade school"
"3.0329782E7","Graduate school","Some college/university"
"3.039577E7","Graduated from college/university","Graduated from college/university"
"2.93728E7","Graduated from college/university","Graduated from college/university"
"3.0229123E7","Graduated from college/university","Graduate school"
"3.0370537E7","Graduate school","Graduated from college/university"
"3.0105168E7","Graduate school","Graduate school"
"3.0126397E7","Graduate school","Graduated from college/university"
"3.0497443E7","None","None"
"3.0086045E7","Graduated from college/university","Graduate school"
"3.0456194E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0387385E7","Graduated from college/university","Some college/university"
"3.0272608E7","Graduate school","Graduate school"
"3.0181712E7","Some college/university","Graduated from high/secondary school (or equivalent)"
"3.034637E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0332603E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0315261E7","Graduated from college/university",""
"3.0173483E7","Graduated from college/university","Graduate school"
"3.0087553E7","Graduated from college/university","Graduated from college/university"
"3.0111486E7","Graduate school","Graduated from college/university"
"3.0170389E7","Graduated from college/university","Graduate school"
"3.0093208E7","Some college/university","Graduated from college/university"
"3.0432651E7","Graduated from college/university","Graduated from college/university"
"2.9676207E7","Graduated from college/university","Graduated from college/university"
"3.0344355E7","Graduated from college/university","Graduated from college/university"
"3.0455635E7","None","None"
"3.0405663E7","Graduated from college/university","Some college/university"
"3.0252419E7","Graduated from college/university","Graduated from college/university"
"3.0163668E7","Graduate school","Graduate school"
"3.0344498E7","Graduate school","Graduated from college/university"
"2.9966614E7","Graduated from college/university","Graduated from college/university"
"3.0509533E7","Graduated from college/university","Some college/university"
"3.0298907E7","Graduated from college/university","Graduated from college/university"
"3.008377E7","Graduated from college/university","Graduate school"
"3.0457117E7","Graduated from college/university","Some college/university"
"3.0315521E7","Graduate school","Graduated from college/university"
"3.0123199E7","Graduate school","Graduate school"
"2.9965431E7","Graduated from college/university","Graduate school"
"3.0092623E7","Graduate school","Graduate school"
"3.0381366E7","Graduated from college/university","Graduated from college/university"
"3.0242773E7","Graduated from college/university","Graduated from college/university"
"3.0290002E7","Graduated from college/university","Graduate school"
"2.9122173E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0262741E7","Some college/university","Graduated from college/university"
"3.0112773E7","Graduated from college/university","Some college/university"
"3.0483052E7","Graduated from college/university","Graduate school"
"3.0284802E7","Graduate school","Graduated from college/university"
"3.031907E7","Graduated from college/university","Graduate school"
"3.0375776E7","Graduated from college/university","Graduate school"
"3.0388113E7","Graduate school","Graduate school"
"3.0151396E7","Graduated from college/university","Graduated trade school"
"3.0187185E7","Graduated from college/university","Graduated trade school"
"3.0405845E7","Some trade school","Graduate school"
"3.0407119E7","Graduate school","Graduate school"
"3.0458612E7","Graduated from college/university","Graduated from college/university"
"3.0103205E7","Graduated from college/university","Graduated from college/university"
"3.0526888E7","Graduated from college/university",""
"3.0259803E7","Graduated from college/university","Graduated from college/university"
"3.0093143E7","Graduated from college/university","Graduate school"
"3.0302144E7","Graduated from college/university","Graduate school"
"3.0214589E7","Graduate school","Graduated from college/university"
"3.0395029E7","Graduated from college/university","Graduate school"
"3.0433626E7","Graduate school","Graduate school"
"3.0208687E7","Graduated from college/university","Graduate school"
"3.0220023E7","Graduated from college/university","Graduate school"
"3.0362646E7","Graduated from college/university","Graduate school"
"3.0234479E7","Graduated from college/university","Graduated from college/university"
"3.0190929E7","Graduate school","Some college/university"
"3.0364947E7","Some college/university","Some college/university"
"3.0247167E7","Graduate school","Graduate school"
"3.011653E7","Graduated from college/university","Graduated from college/university"
"3.0103933E7","Some college/university","Some college/university"
"3.0174341E7","Graduate school","Graduated from college/university"
"3.0219048E7","Graduated from college/university","Some college/university"
"2.9973751E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0341352E7","Graduated from college/university","Graduated from college/university"
"3.0135159E7","Graduated from college/university","Graduate school"
"3.0493972E7","Graduated from college/university","Graduated from college/university"
"3.050367E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0430025E7","Some college/university","Some college/university"
"3.0471326E7","Graduated from high/secondary school (or equivalent)","Graduate school"
"3.019999E7","Graduated from college/university","Graduated from college/university"
"3.0478827E7","Graduate school","Graduate school"
"3.0479854E7","Graduate school","Graduate school"
"3.0302703E7","Graduated from college/university","Graduated from college/university"
"3.0224144E7","Graduated from college/university","Graduated from college/university"
"3.0083146E7","Graduate school","Graduated from college/university"
"3.0516995E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0300688E7","Some trade school","Some high/secondary school"
"3.0328573E7","Graduated from college/university","Graduated trade school"
"3.0366702E7","Graduated from college/university","Some college/university"
"3.0443961E7","Graduate school","Graduate school"
"3.0172092E7","Graduated from college/university","Graduated from college/university"
"3.0344797E7","Graduated from college/university","Graduate school"
"3.036964E7","Graduated from college/university","Graduated from college/university"
"3.0292498E7","Graduated trade school","Some college/university"
"3.0364765E7","Graduated from college/university","Graduated trade school"
"3.0110576E7","Graduated from college/university","Graduate school"
"3.0280785E7","Graduated from college/university","Graduated from college/university"
"3.021195E7","Graduate school","Graduated from college/university"
"3.0204072E7","Graduate school","Graduate school"
"3.0338154E7","Some trade school","Some trade school"
"3.0189733E7","Graduate school","Graduated from college/university"
"3.0158039E7","Graduate school","Some college/university"
"3.0289586E7","Graduate school","Graduate school"
"2.936318E7","Some college/university","Some college/university"
"2.9958671E7","Graduated from college/university","Graduated from college/university"
"3.0142205E7","Graduate school","Graduate school"
"3.028904E7","Graduated from college/university","Graduated from college/university"
"3.0172794E7","Graduated from college/university","Graduated from college/university"
"3.0187653E7","Graduated from college/university","Graduated from college/university"
"3.025329E7","Graduated from college/university","Graduated from college/university"
"3.0307019E7","Graduated from college/university","Some college/university"
"2.9957189E7","Graduated from college/university","Graduated from college/university"
"3.0176343E7","Graduated from college/university","Graduated from college/university"
"3.0237859E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0515604E7","Graduate school","Graduated from college/university"
"3.0265341E7","Some high/secondary school","Some trade school"
"2.996482E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0156401E7","Graduated from college/university","Graduate school"
"3.0162147E7","Graduate school","Graduated from college/university"
"3.009339E7","Graduated from college/university","Graduate school"
"3.0339831E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0291848E7","Some college/university","Graduate school"
"3.0231879E7","Graduated from college/university","Graduated from college/university"
"3.0306434E7","Graduated from high/secondary school (or equivalent)","Some trade school"
"3.0225145E7","Graduated from college/university","Graduate school"
"3.0298946E7","Graduated from college/university","Graduate school"
"3.0461433E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.01983E7","Graduated from college/university","Graduated trade school"
"3.0143323E7","Graduate school","Graduate school"
"3.0162316E7","Graduated from college/university","Some trade school"
"3.0308514E7","Graduated from college/university","Graduated from college/university"
"3.0108535E7","Graduated from high/secondary school (or equivalent)","Some college/university"
"3.0202889E7","Graduated from college/university","Graduated from college/university"
"3.0145247E7","Graduate school","Graduate school"
"3.0358057E7","Graduated from college/university","Graduate school"
"3.0414932E7","Graduated from college/university","Graduated from college/university"
"3.0362633E7","Graduated from college/university",""
"3.0095379E7","Graduate school","Graduate school"
"3.045856E7","Graduated from college/university","Graduated from college/university"
"3.0167529E7","Graduate school","Graduate school"
"3.0247531E7","Graduated from college/university","Graduated from college/university"
"3.0473588E7","Some college/university","Graduate school"
"3.034663E7","Graduated from college/university","Graduated from college/university"
"3.0402231E7","Graduate school","Graduated from college/university"
"3.0493218E7","Some high/secondary school","Some high/secondary school"
"3.0516189E7","Graduate school","Graduated trade school"
"3.0352168E7","Some college/university","Graduate school"
"3.032661E7","Graduated trade school","Graduated from high/secondary school (or equivalent)"
"3.0492685E7","Graduated from college/university","Graduated from college/university"
"3.0403518E7","Graduated from college/university","Graduated from college/university"
"3.0288442E7","Graduate school","Graduate school"
"3.014201E7","Graduated from college/university","Graduate school"
"3.0332772E7","Graduated from college/university","Graduated from college/university"
"2.9965626E7","Graduate school","Graduate school"
"3.0358434E7","Graduated from college/university","Graduated from college/university"
"3.036951E7","Graduate school","Graduated trade school"
"3.0138422E7","Graduated from college/university","Graduate school"
"3.0306603E7","Graduated from college/university","Graduate school"
"3.0329769E7","Graduated from college/university","Graduate school"
"3.0405377E7","Graduate school","Graduate school"
"3.0132169E7","Graduated from college/university","Graduated from college/university"
"3.0499003E7","Some college/university","Graduated from college/university"
"3.0163499E7","Graduated from college/university","Some college/university"
"3.0192931E7","Graduated from college/university","Graduated from college/university"
"3.0159365E7","Graduated from college/university","Graduate school"
"3.0284425E7","Graduated from college/university","Graduated from college/university"
"3.0157051E7","Graduated from college/university","Graduate school"
"3.0395263E7","Graduated from high/secondary school (or equivalent)","Some high/secondary school"
"3.0247427E7","Graduated from college/university","Graduated from college/university"
"3.0406404E7","Some trade school","Some college/university"
"3.0367092E7","Graduate school","Graduate school"
"3.0506491E7","Some high/secondary school",""
"3.0396628E7","Graduated from college/university","Graduate school"
"3.0327416E7","Graduate school","Graduated from college/university"
"3.0075398E7","Graduated trade school","Graduated trade school"
"3.0115061E7","Graduated from college/university","Graduated from college/university"
"3.0166073E7","Graduate school",""
"3.0288403E7","Graduated from college/university","Graduate school"
"3.0086955E7","Graduated from college/university","Graduated from college/university"
"3.0289092E7","Graduated from college/university","Graduated from college/university"
"3.0391623E7","Graduate school","Graduate school"
"3.0128698E7","Graduate school","Graduated trade school"
"3.0293005E7","Graduate school","Graduate school"
"3.0342496E7","Graduated from college/university","Some college/university"
"3.0404181E7","Graduate school","Graduated from college/university"
"3.0181348E7","Graduate school","Graduate school"
"3.0186249E7","Graduate school","Graduate school"
"3.0402933E7","Graduated from college/university","Some college/university"
"3.0208895E7","Graduated from high/secondary school (or equivalent)","Graduated from college/university"
"3.0201667E7","Graduated trade school","Graduated from high/secondary school (or equivalent)"
"3.0372045E7","Graduate school","Graduate school"
"3.0381418E7","Graduated from high/secondary school (or equivalent)","Graduated from college/university"
"3.0431208E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
"3.0090335E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.022131E7","Graduate school","Graduate school"
"2.99773E7","Graduate school","Graduated from high/secondary school (or equivalent)"
"3.0335229E7","Graduated from college/university",""
"3.0178904E7","Graduate school","Graduate school"
"3.0491424E7","Graduate school","Graduated from college/university"
"3.0296294E7","Graduated from college/university","Some college/university"
"2.9341028E7","Graduated from college/university","Some college/university"
"3.0161042E7","Graduate school","Graduate school"
"3.0175134E7","Some college/university","Some college/university"
"3.0079805E7","Graduated from college/university","Graduated from college/university"
"3.0285218E7","Graduated from college/university","Graduate school"
"3.0288273E7","Graduate school","Graduate school"
"3.0318316E7","Graduated from college/university","Graduate school"
"3.0397564E7","Graduate school","Graduate school"
"3.0437526E7","Graduated from college/university","Graduate school"
"3.0231736E7","Graduate school","Graduate school"
"3.0280668E7","Graduated from college/university","Graduated from college/university"
"3.0154035E7","Graduated from college/university","Graduate school"
"3.040162E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0399072E7","Graduated from college/university","Graduate school"
"3.0364505E7","Graduate school","Graduate school"
"3.0325258E7","Graduated from college/university","Graduated from college/university"
"3.0237118E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0142413E7","Graduated from college/university","Graduated from high/secondary school (or equivalent)"
"3.0230358E7","Graduated from college/university","Graduated from college/university"
"3.0079311E7","Graduated from college/university","Graduated from college/university"
"3.0377635E7","Some college/university","Graduated from college/university"
"3.008481E7","Graduate school","Graduate school"
"3.0300961E7","Graduated from college/university","Graduated from college/university"
"3.0155296E7","Graduated from college/university","Graduated from college/university"
"3.0330523E7","Graduated from college/university","Graduated from college/university"
"3.0401243E7","Some college/university","Some college/university"
"3.0172989E7","Graduated from college/university","Some college/university"
"3.0144805E7","Graduated from high/secondary school (or equivalent)","Graduated trade school"
"3.0350387E7","Graduated from high/secondary school (or equivalent)","Graduated from college/university"
"3.0553395E7","Graduated from high/secondary school (or equivalent)","Graduated from high/secondary school (or equivalent)"
