bsOrHigher,region
0.39,montana
0.449,minnesota
0.479,new hampshire
0.343,wyoming
0.381,alaska
0.503,vermont
0.353,north dakota
0.393,maine
0.352,iowa
0.415,utah
0.413,hawaii
0.372,wisconsin
0.35,south dakota
0.39,nebraska
0.521,colorado
0.449,washington
0.42,kansas
0.542,connecticut
0.423,oregon
0.582,massachusetts
0.374,michigan
0.341,idaho
0.552,maryland
0.859,district of columbia
0.398,pennsylvania
0.358,ohio
0.508,new jersey
0.422,delaware
0.373,missouri
0.517,virginia
0.447,illinois
0.328,indiana
0.321,oklahoma
0.371,florida
0.41,united states
0.447,rhode island
0.377,arizona
0.383,north carolina
0.49,new york
0.351,south carolina
0.339,tennessee
0.395,georgia
0.309,nevada
0.266,west virginia
0.286,arkansas
0.322,alabama
0.378,new mexico
0.315,kentucky
0.302,louisiana
0.284,mississippi
0.37,texas
0.43,california
